2025-11-06 17:31:56 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:56 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:57 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:57 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:58 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:58 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:59 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:59 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:00 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:00 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:01 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:01 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:44 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:44 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:45 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:45 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:46 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:32:46 WARNING [5533] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
